date,name,code,pre_close,open,high,low,close,vol,amount
2022-10-12,华夏标普500ETF(QDII),159655.SZ,,,,,,,
2022-10-14,华夏标普500ETF(QDII),159655.SZ,,,,,,,
2022-10-21,华夏标普500ETF(QDII),159655.SZ,,,,,,,
2022-10-24,华夏标普500ETF(QDII),159655.SZ,,,,,,,
2022-10-25,华夏标普500ETF(QDII),159655.SZ,1.001,1.001,1.016,0.982,1.015,116049686.0,116812973.45
2022-10-26,华夏标普500ETF(QDII),159655.SZ,1.015,1.018,1.022,1.01,1.013,19063515.0,19380188.74
2022-10-27,华夏标普500ETF(QDII),159655.SZ,1.013,1.012,1.013,1.003,1.013,33943298.0,34243990.98
2022-10-28,华夏标普500ETF(QDII),159655.SZ,1.013,1.009,1.009,0.984,0.985,5462032.0,5435663.17
2022-10-31,华夏标普500ETF(QDII),159655.SZ,0.985,1.009,1.023,1.008,1.023,6629101.0,6747740.19
2022-11-01,华夏标普500ETF(QDII),159655.SZ,1.023,1.018,1.028,1.015,1.026,7151782.0,7326442.24
2022-11-02,华夏标普500ETF(QDII),159655.SZ,1.026,1.021,1.021,1.016,1.019,1851797.0,1886513.8
2022-11-03,华夏标普500ETF(QDII),159655.SZ,1.019,0.993,1.0,0.993,0.998,1094877.0,1091878.57
2022-11-04,华夏标普500ETF(QDII),159655.SZ,0.998,0.993,0.997,0.984,0.99,9417804.0,9309991.94
2022-11-07,华夏标普500ETF(QDII),159655.SZ,0.99,0.99,0.99,0.979,0.988,5362834.0,5285627.02
2022-11-08,华夏标普500ETF(QDII),159655.SZ,0.988,0.995,1.0,0.993,0.999,6144453.0,6127300.65
2022-11-09,华夏标普500ETF(QDII),159655.SZ,0.999,1.004,1.01,1.003,1.006,3414171.0,3440313.98
2022-11-10,华夏标普500ETF(QDII),159655.SZ,1.006,0.983,0.992,0.982,0.991,5674343.0,5613654.67
2022-11-11,华夏标普500ETF(QDII),159655.SZ,0.991,1.035,1.035,1.028,1.031,12086155.0,12452132.49
2022-11-14,华夏标普500ETF(QDII),159655.SZ,1.031,1.031,1.031,1.019,1.021,3343019.0,3418000.83
2022-11-15,华夏标普500ETF(QDII),159655.SZ,1.021,1.016,1.02,1.011,1.019,6024070.0,6133347.12
2022-11-16,华夏标普500ETF(QDII),159655.SZ,1.019,1.014,1.025,1.014,1.024,2946581.0,3011124.82
2022-11-17,华夏标普500ETF(QDII),159655.SZ,1.024,1.018,1.03,1.018,1.029,3078583.0,3154897.73
2022-11-18,华夏标普500ETF(QDII),159655.SZ,1.029,1.028,1.028,1.022,1.022,2032240.0,2079735.09
2022-11-21,华夏标普500ETF(QDII),159655.SZ,1.022,1.022,1.03,1.022,1.029,1949100.0,2004322.2
2022-11-22,华夏标普500ETF(QDII),159655.SZ,1.029,1.029,1.033,1.029,1.029,1664854.0,1716428.27
