date,name,code,pre_close,open,high,low,close,vol,amount
2021-11-24,广发中证海外中国互联网30(QDII-ETF),159605.SZ,,,,,,,
2021-11-26,广发中证海外中国互联网30(QDII-ETF),159605.SZ,,,,,,,
2021-11-30,广发中证海外中国互联网30(QDII-ETF),159605.SZ,,,,,,,
2021-12-01,广发中证海外中国互联网30(QDII-ETF),159605.SZ,,,,,,,
2021-12-02,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.975,0.971,0.973,0.96,0.972,418159558.0,404834321.81
2021-12-03,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.972,0.968,0.969,0.949,0.956,312315177.0,299100098.19
2021-12-06,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.956,0.913,0.925,0.906,0.907,372209313.0,341177669.11
2021-12-07,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.907,0.93,0.95,0.924,0.948,290677671.0,271337955.55
2021-12-08,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.948,0.963,0.965,0.953,0.959,302467204.0,290139547.19
2021-12-09,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.959,0.967,0.972,0.962,0.968,190681428.0,184368144.31
2021-12-10,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.968,0.965,0.972,0.96,0.96,138073157.0,133221835.5
2021-12-13,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.96,0.966,0.982,0.966,0.968,156581577.0,152631461.62
2021-12-14,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.968,0.951,0.958,0.945,0.946,149395150.0,141894479.73
2021-12-15,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.946,0.947,0.952,0.935,0.936,132366790.0,125183051.68
2021-12-16,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.936,0.925,0.93,0.915,0.919,261847470.0,240773233.13
2021-12-17,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.919,0.911,0.912,0.899,0.899,229146557.0,207131056.56
2021-12-20,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.899,0.9,0.904,0.88,0.8809999999999999,239035382.0,213446308.61
2021-12-21,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.8809999999999999,0.8640000000000001,0.882,0.863,0.882,272768868.0,237730209.79
2021-12-22,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.882,0.916,0.916,0.893,0.893,237173701.0,214241475.8
2021-12-23,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.893,0.895,0.898,0.888,0.8909999999999999,187583563.0,167411452.53
2021-12-24,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.8909999999999999,0.9,0.9,0.884,0.885,118401164.0,105329703.49
2021-12-27,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.885,0.8909999999999999,0.895,0.89,0.895,50713000.0,45229739.83
2021-12-28,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.895,0.893,0.894,0.877,0.884,167060334.0,147476593.39
2021-12-29,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.884,0.878,0.879,0.868,0.868,117486842.0,102450382.33
2021-12-30,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.868,0.861,0.871,0.86,0.865,181507174.0,157076814.45
2021-12-31,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.865,0.9,0.903,0.894,0.902,232031833.0,208733596.26
2022-01-04,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.902,0.893,0.9,0.882,0.885,197891320.0,175758423.87
2022-01-05,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.885,0.871,0.873,0.853,0.8540000000000001,280095665.0,240529916.86
2022-01-06,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.8540000000000001,0.846,0.857,0.841,0.848,234468333.0,198615734.6
2022-01-07,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.848,0.8690000000000001,0.879,0.865,0.8759999999999999,222297623.0,193645621.74
2022-01-10,广发中证海外中国互联网30(QDII-ETF),159605.SZ,0.8759999999999999,0.885,0.903,0.877,0.9,224723642.0,201012373.23
