date,name,code,pre_close,open,high,low,close,vol,amount
2021-01-22,互联网龙头ETF,159856.SZ,,,,,,,
2021-01-29,互联网龙头ETF,159856.SZ,,,,,,,
2021-02-01,互联网龙头ETF,159856.SZ,0.96,0.961,1.004,0.96,1.0,38277467.0,37985797.04
2021-02-02,互联网龙头ETF,159856.SZ,1.0,1.009,1.013,1.0,1.006,55389513.0,55826721.73
2021-02-03,互联网龙头ETF,159856.SZ,1.006,1.004,1.009,0.993,0.995,44191596.0,44267400.63
2021-02-04,互联网龙头ETF,159856.SZ,0.995,0.995,0.995,0.955,0.976,40576487.0,39307565.57
2021-02-05,互联网龙头ETF,159856.SZ,0.976,0.978,0.985,0.967,0.969,21444451.0,20940639.43
2021-02-08,互联网龙头ETF,159856.SZ,0.969,0.968,0.98,0.962,0.973,20307948.0,19726416.69
2021-02-09,互联网龙头ETF,159856.SZ,0.973,0.971,0.99,0.971,0.986,20853156.0,20452165.59
2021-02-10,互联网龙头ETF,159856.SZ,0.986,0.987,1.011,0.987,1.009,60265906.0,60589995.61
2021-02-18,互联网龙头ETF,159856.SZ,1.009,1.035,1.055,1.018,1.024,97862345.0,101057466.83
2021-02-19,互联网龙头ETF,159856.SZ,1.024,1.02,1.032,1.001,1.031,35031539.0,35538888.8
2021-02-22,互联网龙头ETF,159856.SZ,1.031,1.03,1.04,0.991,0.992,31916157.0,32260533.12
2021-02-23,互联网龙头ETF,159856.SZ,0.992,0.989,0.994,0.971,0.985,18682531.0,18363850.28
2021-02-24,互联网龙头ETF,159856.SZ,0.985,0.989,0.989,0.935,0.947,35909112.0,34480730.66
2021-02-25,互联网龙头ETF,159856.SZ,0.947,0.95,0.964,0.939,0.941,15675807.0,14860422.73
2021-02-26,互联网龙头ETF,159856.SZ,0.941,0.919,0.919,0.903,0.907,21392310.0,19464728.47
2021-03-01,互联网龙头ETF,159856.SZ,0.907,0.929,0.931,0.919,0.93,12151603.0,11248018.67
2021-03-02,互联网龙头ETF,159856.SZ,0.93,0.938,0.946,0.919,0.929,13470827.0,12598881.74
